"ID","순서","타입","상위폴더","이름","설명","사전조건","예상결과","Step 1","Expected 1","Step 2","Expected 2","Step 3","Expected 3"
"INFRA-AUTO-011","11","테스트케이스","","TC31-Log-Aggregation","로그 집계 파이프라인 자동화","ELK/EFK 스택 구성
로그 에이전트 배포","애플리케이션 로그가
중앙 집계 시스템에 수집","여러 마이크로서비스에서 로그 생성
다양한 로그 레벨과 포맷으로 출력","각 서비스에서 로그 생성됨
로그 에이전트가 로그를 수집함","Logstash/Fluentd에서 로그 파싱 및 변환
Elasticsearch에 인덱싱 처리","로그가 정상적으로 파싱됨
구조화된 형태로 저장됨","Kibana/Grafana에서 로그 검색 및 시각화
알림 규칙 기반 이상 로그 탐지","로그 검색이 정상 동작함
이상 패턴 감지 시 알림 발송됨"
"INFRA-AUTO-012","12","테스트케이스","","TC32-Database-Migration","데이터베이스 스키마 자동 마이그레이션","DB 마이그레이션 도구 설정
스키마 버전 관리 구성","스키마 변경 시 자동
마이그레이션 및 롤백 가능","새로운 스키마 변경 스크립트 작성
마이그레이션 도구로 변경 사항 적용","스키마 변경 스크립트 작성됨
마이그레이션이 성공적으로 실행됨","데이터 무결성 검증 및 성능 테스트
애플리케이션 호환성 확인","데이터 무결성이 유지됨
애플리케이션이 정상 동작함","문제 발생 시 롤백 테스트 수행
이전 스키마 버전으로 복구 검증","롤백이 정상적으로 수행됨
데이터 손실 없이 복구됨"
"INFRA-AUTO-013","13","테스트케이스","","TC33-Network-Segmentation","네트워크 마이크로 세그멘테이션","네트워크 정책 도구 설치
마이크로서비스 네임스페이스 분리","서비스간 네트워크
접근 제어 정책 자동 적용","네트워크 정책을 통한 Pod간 통신 제한
특정 포트와 프로토콜만 허용 설정","네트워크 정책이 적용됨
허용된 통신만 가능하게 됨","정책 위반 통신 시도 테스트
차단된 트래픽 로그 확인","정책 위반 통신이 차단됨
차단 로그가 생성됨","네트워크 흐름 모니터링 도구로 검증
허용된 트래픽만 흐르는지 확인","허용된 트래픽만 흐름이 확인됨
정책이 정확히 적용되었음을 확인"
"INFRA-AUTO-014","14","테스트케이스","","TC34-Secrets-Rotation","시크릿 자동 로테이션","시크릿 관리 시스템 구성
로테이션 정책 설정","주기적으로 시크릿
자동 갱신 및 배포","시크릿 로테이션 스케줄 실행
새로운 패스워드/키 생성 및 저장","새로운 시크릿이 생성됨
시크릿 저장소에 업데이트됨","애플리케이션에 새 시크릿 자동 배포
무중단 시크릿 업데이트 수행","새 시크릿이 애플리케이션에 배포됨
서비스 중단 없이 업데이트됨","이전 시크릿 무효화 및 정리
시크릿 사용 내역 감사 로그 확인","이전 시크릿이 안전하게 제거됨
모든 로테이션 내역이 기록됨"
"INFRA-AUTO-015","15","테스트케이스","","TC35-AIModel-Deploy","AI/ML 모델 자동 배포 파이프라인","MLOps 플랫폼 구성
모델 레지스트리 설정","모델 학습 완료 시
자동 검증 및 프로덕션 배포","새로운 ML 모델 학습 완료
모델 성능 메트릭 기준값 이상 확인","모델 학습이 완료됨
성능 메트릭이 기준을 만족함","모델 A/B 테스트 환경 자동 구성
일부 트래픽으로 새 모델 검증","A/B 테스트 환경이 구성됨
새 모델이 트래픽 일부를 처리함","성능 비교 후 전체 트래픽 전환
모델 버전 관리 및 롤백 준비","새 모델이 전체 트래픽 처리함
이전 모델 버전이 롤백 준비됨"
"INFRA-AUTO-016","16","테스트케이스","","TC36-Edge-Computing","엣지 컴퓨팅 자동 배포","엣지 노드 클러스터 구성
중앙-엣지 연결 설정","중앙에서 엣지로
자동 워크로드 배포","중앙 클러스터에서 엣지 배포 매니페스트 생성
지리적 위치별 엣지 노드 선택","엣지 배포 매니페스트 생성됨
적절한 엣지 노드가 선택됨","엣지 노드에 워크로드 자동 배포
네트워크 레이턴시 및 연결 상태 모니터링","워크로드가 엣지에 배포됨
네트워크 상태가 모니터링됨","엣지-중앙 간 데이터 동기화 확인
장애 시 자동 페일오버 테스트","데이터 동기화가 정상 동작함
장애 시 다른 엣지로 페일오버됨"
"INFRA-AUTO-017","17","테스트케이스","","TC37-Compliance-Auto","컴플라이언스 자동 검증","컴플라이언스 스캔 도구 설치
정책 규칙 정의 및 설정","인프라 변경 시 자동
컴플라이언스 검증 실행","인프라 구성 변경 후 컴플라이언스 스캔
SOC2, PCI-DSS 등 규정 준수 확인","컴플라이언스 스캔이 실행됨
각 규정별 준수 여부 체크됨","정책 위반 사항 식별 및 분류
자동 수정 가능한 항목 처리","정책 위반 사항이 식별됨
자동 수정이 가능한 항목 처리됨","컴플라이언스 리포트 생성 및 배포
수정 불가 항목에 대한 알림 발송","상세 컴플라이언스 리포트 생성됨
담당자에게 수정 요청 알림 발송됨"
"INFRA-AUTO-018","18","테스트케이스","","TC38-Storage-Auto","스토리지 자동 프로비저닝","CSI 드라이버 설치
스토리지 클래스 정의","PVC 요청 시 자동
스토리지 프로비저닝 및 마운트","애플리케이션에서 PVC 생성 요청
스토리지 용량 및 성능 요구사항 명시","PVC 요청이 생성됨
스토리지 요구사항이 명시됨","CSI 드라이버가 백엔드 스토리지에 볼륨 생성
PV 자동 생성 및 PVC와 바인딩","백엔드에 볼륨이 생성됨
PV-PVC 바인딩이 완료됨","애플리케이션 Pod에 볼륨 마운트
데이터 읽기/쓰기 기능 검증","볼륨이 정상적으로 마운트됨
데이터 I/O가 정상 동작함"
"INFRA-AUTO-019","19","테스트케이스","","TC39-Performance-Auto","성능 테스트 자동화 파이프라인","성능 테스트 도구 구성
기준 성능 메트릭 정의","배포 시 자동 성능 테스트
기준 미달 시 배포 중단","새 버전 배포 후 자동 성능 테스트 실행
부하 생성 및 응답시간 측정 시작","성능 테스트가 자동 실행됨
부하가 정상적으로 생성됨","TPS, 응답시간, 에러율 측정
사전 정의된 기준값과 비교 분석","성능 메트릭이 수집됨
기준값과의 비교가 수행됨","기준 미달 시 자동 롤백 실행
성능 테스트 결과 리포트 생성","기준 미달 시 롤백이 실행됨
상세 성능 리포트가 생성됨"
"INFRA-AUTO-020","20","테스트케이스","","TC40-Event-Driven","이벤트 드리븐 인프라 자동화","이벤트 브로커 설정
이벤트 핸들러 구성","특정 이벤트 발생 시
자동 인프라 변경 실행","애플리케이션에서 특정 비즈니스 이벤트 발생
이벤트 메시지를 브로커에 발행","비즈니스 이벤트가 발생함
이벤트 메시지가 브로커에 발행됨","이벤트 핸들러가 메시지 수신 및 처리
인프라 스케일링 또는 구성 변경 실행","이벤트가 정상 수신됨
인프라 변경이 자동 실행됨","변경 결과 확인 및 이벤트 처리 완료
이벤트 처리 내역 로그 기록","인프라 변경이 완료됨
모든 이벤트 처리 내역이 기록됨"
"INFRA-AUTO-021","21","폴더","","1번","1번 폴더","","","","","","","",""
"INFRA-AUTO-001","1","테스트케이스","1번","TC21-K8s-HPA","쿠버네티스 HPA 자동 스케일링","HPA 매니페스트 배포됨
메트릭 서버 실행중","CPU/메모리 부하에 따른
파드 자동 증감 동작","부하 테스트 툴로 CPU 사용률 80% 생성
kubectl로 HPA 상태 모니터링","HPA가 스케일아웃 이벤트 감지함
파드 갯수가 목표치로 증가됨","부하를 제거하여 CPU 사용률 20%로 감소
5분간 대기 후 HPA 상태 재확인","HPA가 스케일인 이벤트 감지함
파드 갯수가 최소값으로 감소됨","kubectl get events로 스케일링 로그 확인
Prometheus에서 메트릭 히스토리 조회","모든 스케일링 이벤트가 로그에 기록됨
메트릭이 실제 파드 증감과 일치함"
"INFRA-AUTO-002","2","테스트케이스","1번","TC22-Security-ScanAuto","보안 취약점 스캔 자동화","취약점 스캐너 설치됨
CI/CD 파이프라인 구성","코드 커밋시 자동
보안 스캔 및 리포트 생성","Git에 새 코드를 커밋하고 푸시
CI 파이프라인이 자동으로 트리거됨","파이프라인이 정상 시작됨
보안 스캔 단계가 실행됨","SAST/DAST 도구가 코드 및 런타임 스캔
취약점 발견 시 빌드 실패 설정 확인","취약점 발견시 빌드가 실패함
상세 취약점 리포트가 생성됨","스캔 결과를 JIRA/Slack으로 자동 전송
취약점 수정 후 재실행하여 성공 확인","알림이 지정된 채널에 전송됨
수정 후 빌드가 성공적으로 완료됨"
"INFRA-AUTO-003","3","테스트케이스","1번","TC23-GitOps-Sync","GitOps 기반 인프라 동기화","ArgoCD/Flux 설치됨
Git 저장소 연동 설정","Git 변경사항이 자동으로
클러스터에 동기화됨","Git 저장소의 YAML 매니페스트 수정
변경사항을 master 브랜치에 커밋","Git 커밋이 정상 처리됨
GitOps 도구가 변경을 감지함","GitOps 컨트롤러가 클러스터 상태 비교
Diff 감지 후 동기화 작업 시작","클러스터와 Git의 차이점 식별됨
동기화 작업이 자동으로 시작됨","동기화 완료 후 클러스터 상태 확인
동기화 로그 및 이벤트 검증","클러스터 상태가 Git와 일치함
모든 리소스 변경이 반영됨"
"INFRA-AUTO-004","4","테스트케이스","1번","TC24-ServiceMesh-Policy","서비스 메시 보안 정책 적용","Istio/Linkerd 설치됨
마이크로서비스 배포됨","서비스간 통신에
보안 정책 자동 적용","서비스 메시 정책 YAML 작성 및 적용
mTLS, 접근 제어 정책 정의","정책이 성공적으로 적용됨
서비스 메시에 정책이 등록됨","허가되지 않은 서비스간 통신 시도
정책 위반 상황 시뮬레이션","정책에 의해 통신이 차단됨
403 Forbidden 응답 수신됨","서비스 메시 대시보드에서 트래픽 확인
정책 적용 통계 및 로그 분석","모든 트래픽이 정책에 따라 제어됨
보안 위반 시도가 기록됨"
"INFRA-AUTO-005","5","테스트케이스","1번","TC25-ChaosEng-Resilience","카오스 엔지니어링 자동 장애 주입","Chaos Monkey/Litmus 설치
복구 메커니즘 구성","장애 주입 시 시스템
자동 복구 및 가용성 유지","특정 파드/노드에 장애 주입 실행
네트워크 지연, 파드 킬 등 시뮬레이션","장애가 성공적으로 주입됨
모니터링 시스템이 장애를 감지함","자동 복구 메커니즘 동작 확인
Health Check 및 리스타트 정책 검증","시스템이 자동으로 복구 시작함
새로운 파드/인스턴스가 생성됨","서비스 가용성 및 응답시간 측정
장애 전후 성능 비교 분석","서비스 다운타임이 SLA 내 유지됨
성능 저하가 허용 범위 내임"
"INFRA-AUTO-006","6","테스트케이스","1번","TC26-FinOps-CostOpt","클라우드 비용 최적화 자동화","비용 모니터링 툴 설정
예산 임계값 정의","비용 초과 시 자동
리소스 최적화 실행","클라우드 리소스 사용량 인위적 증가
설정된 예산 임계값 초과 상황 생성","비용 알림이 트리거됨
임계값 초과가 감지됨","자동화 스크립트가 미사용 리소스 식별
스케일다운 또는 인스턴스 중지 실행","미사용 리소스가 식별됨
비용 절감 액션이 실행됨","비용 절감 효과 측정 및 리포트 생성
최적화 결과를 대시보드에 표시","실제 비용이 예산 내로 감소함
최적화 내역이 상세히 기록됨"
"INFRA-AUTO-007","7","테스트케이스","1번","TC27-MultiCloud-DR","멀티클라우드 재해복구 자동화","멀티클라우드 환경 구성
DR 스크립트 준비됨","주 클라우드 장애 시
보조 클라우드로 자동 전환","주 클라우드의 가용성 모니터링
Health Check API 호출 실패 시뮬레이션","Health Check가 실패로 응답함
DR 트리거 조건이 만족됨","DR 자동화 스크립트 실행
보조 클라우드에 서비스 배포 시작","DR 스크립트가 정상 실행됨
보조 클라우드에 리소스 생성됨","DNS 레코드 업데이트 및 트래픽 전환
서비스 정상성 검증 완료","트래픽이 보조 클라우드로 전환됨
서비스가 정상적으로 응답함"
"INFRA-AUTO-008","8","테스트케이스","1번","TC28-Container-ImageSec","컨테이너 이미지 보안 스캔","이미지 레지스트리 구성
보안 스캔 도구 연동","이미지 푸시 시 자동
취약점 스캔 및 배포 제어","새로운 컨테이너 이미지를 레지스트리에 푸시
이미지 스캔 트리거 자동 실행","이미지가 성공적으로 푸시됨
보안 스캔이 자동으로 시작됨","스캔 결과에서 Critical 취약점 발견
배포 차단 정책 동작 확인","Critical 취약점이 감지됨
이미지 배포가 자동으로 차단됨","취약점 수정된 이미지로 재푸시
스캔 통과 후 정상 배포 확인","수정된 이미지가 스캔을 통과함
정상적으로 클러스터에 배포됨"
"INFRA-AUTO-009","9","테스트케이스","1번","TC29-API-RateLimit","API 게이트웨이 Rate Limiting","API 게이트웨이 배포됨
Rate Limit 정책 설정","요청 임계값 초과 시
자동 제한 및 복구","API 엔드포인트에 대량 요청 발송
설정된 Rate Limit 임계값 초과 시도","대량 요청이 전송됨
Rate Limit 임계값에 도달함","초과 요청에 대해 429 응답 확인
Rate Limiting 정책 동작 검증","초과 요청이 429로 차단됨
정상 요청은 계속 처리됨","Rate Limit 윈도우 만료 후 정상화
API 응답 시간 및 처리량 측정","Rate Limit 해제 후 정상 처리됨
성능 메트릭이 기대값과 일치함"
